,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration
8574,18574,1,2,6,1,0,2,570
8575,18575,1,4,4,1,0,1,450
8576,18576,1,7,1,1,0,1,450
8577,18577,1,6,1,1,0,1,590
8578,18578,1,4,1,1,2,2,535
8579,18579,1,4,1,2,1,3,505
8580,18580,1,3,6,1,0,2,425
8581,18581,1,1,6,2,2,2,620
8582,18582,1,6,3,2,0,3,420
8583,18583,1,4,1,2,0,2,760
8584,18584,2,4,2,2,0,2,420
8585,18585,1,1,6,1,0,1,590
8586,18586,3,3,1,2,3,1,470
8587,18587,2,3,2,2,1,1,600
8588,18588,1,3,2,2,2,2,450
8589,18589,1,6,5,1,0,3,530
8590,18590,2,1,6,2,0,2,530
8591,18591,3,4,1,2,0,3,510
8592,18592,1,1,6,2,0,2,600
8593,18593,2,5,1,2,0,3,695
8594,18594,1,3,4,1,0,2,480
8595,18595,1,6,3,1,0,1,510
8596,18596,2,4,1,1,3,1,390
8597,18597,2,6,1,2,0,3,325
8598,18598,2,4,4,1,0,2,540
8599,18599,1,4,6,1,0,1,630
8600,18600,1,7,3,2,0,2,570
8601,18601,1,5,1,2,0,2,540
8602,18602,1,2,4,2,1,1,510
8603,18603,1,4,1,1,0,2,470
8604,18604,1,4,1,1,0,1,540
8605,18605,1,6,1,2,0,1,550
8606,18606,2,1,6,1,0,6,435
8607,18607,2,6,3,1,0,1,420
8608,18608,1,2,2,1,1,2,540
8609,18609,2,3,1,1,3,1,445
8610,18610,2,5,4,1,0,1,450
8611,18611,1,5,3,2,0,2,420
8612,18612,2,2,6,2,1,2,480
8613,18613,2,2,6,1,0,5,325
8614,18614,1,5,1,1,0,2,675
8615,18615,2,5,1,1,0,5,405
8616,18616,2,1,6,2,0,2,515
8617,18617,1,7,1,2,0,2,545
8618,18618,1,3,6,1,0,2,660
8619,18619,3,5,4,1,0,4,260
8620,18620,2,4,1,2,0,2,600
8621,18621,1,1,6,2,0,1,540
8622,18622,1,5,4,1,0,3,420
8623,18623,1,7,4,1,0,6,600
8624,18624,2,5,1,2,0,1,630
8625,18625,1,3,2,2,1,1,645
8626,18626,1,7,3,2,0,6,660
8627,18627,2,5,1,1,0,1,495
8628,18628,1,5,3,2,0,3,720
8629,18629,1,6,6,2,0,2,450
8630,18630,1,2,2,1,0,1,470
8631,18631,1,5,2,1,0,4,585
8632,18632,1,5,5,2,0,5,720
8633,18633,1,5,2,2,0,1,480
8634,18634,1,5,5,2,0,3,465
8635,18635,1,3,1,1,1,2,480
8636,18636,1,4,6,2,0,1,300
8637,18637,2,1,6,2,0,1,510
8638,18638,1,5,3,2,0,5,540
8639,18639,1,7,3,1,0,6,780
8640,18640,1,5,1,1,0,2,480
8641,18641,1,3,2,1,0,1,480
8642,18642,1,4,1,2,0,3,495
